item_n,batch,depth,summary
1,0001,full,AUR packaging crash at startup due to python-evdev/rich library version mismatch on Manjaro; maintainer pushed a fix the same day.
2,0001,full,AUR install failed because plugdev group did not exist on some Manjaro configs; maintainer patched service to handle missing group. Also contains an early feature request for gamepad axis mapping.
3,0001,full,Request for Windows support. Maintainer declined: no test capacity; python-evdev has no Windows equivalent; pynput lacks gamepad and Wayland support.
4,0001,full,Request for tty/non-GUI mode. Maintainer stated it was achievable; implemented CLI via key-mapper-control and D-Bus in 0.4.0. Side discussion of X11 xmodmap for cedilla layout.
5,0001,full,Pop!_OS install failed: python3-evdev not pulled as a dependency. Resolved with apt -f install. Maintainer said README would be updated. PR potential: dependency note in README.
6,0001,full,"MX Linux (sysv init): deb install required systemd; fixed. Separately: Steam controller both triggers mapped to BTN_LEFT so could not be remapped individually; maintainer explained the limitation, provided a manual config workaround."
7,0001,full,"Elementary OS: GUI injection failed when launched from app menu. Root cause: pkexec + os.getlogin() failed on Elementary. Maintainer pushed fixes for polkit, getlogin, and .desktop entry. Includes discussion of key combinations (not yet implemented at that time)."
8,0001,full,"Mappings not surviving reboot on Manjaro GNOME. Three overlapping bugs: service not enabled by installer, config.json path-resolution corruption, and GNOME autostart .desktop missing Type=Application (silent failure). All three fixed."
9,0001,full,Dark theme (Prof-Gnome-Dark) no longer applied to GUI after 0.4.0 on Manjaro. Maintainer could not reproduce; reporter attributed it to their own theme setup. Closed without fix.
10,0001,full,"GUI freezes on Arch (no error, just unresponsive). User also wanted Capslock+vim key combinations which were not yet implemented. Maintainer implemented combinations in 0.5.0; freeze symptom carried in title without a specific code fix logged."
11,0001,full,"Empty issue body; user wanted to know how to uninstall. Maintainer replied with removal commands for apt, pacman, pip. Documentation gap."
12,0001,full,"Mouse buttons 6 and 7 (horizontal scroll wheel) send EV_REL/REL_HWHEEL, not EV_KEY; key-mapper could not map them. Maintainer implemented scroll event mapping in wheel-attempt-2 branch, released in 0.6.0."
13,0002,full,Duplicate of #12 cluster: horizontal scroll (EV_REL/REL_HWHEEL) not mappable on MX Master 2S and MX Ergo. Fixed in 0.6.0 per maintainer. Confirms the scroll-mapping fix was needed across multiple Logitech models.
15,0002,full,Request for OpenRC and sysv init scripts. Maintainer asked for a PR; community members posted working OpenRC and runit scripts in comments but no official merge. PR potential: add init scripts to packaging.
16,0002,full,"User wanted three-modifier macro (ctrl+alt+down) and got a syntax error; maintainer explained nested macro syntax m(ctrl, m(alt, k(down))). Classic docs gap; nested syntax was not in the docs."
17,0002,full,User alarmed that get_user() returned root in systemd daemon on Arch+Wayland+GNOME. Maintainer stated this is expected and normal; the injection uses the user config via D-Bus. Docs gap: expected daemon behavior not documented.
18,0002,full,"Mapping not active on lockscreen (pop-os, before first login). Maintainer explained the service waits for user login before injecting, and provided a workaround via runuser + --config-dir flag. Fix: document lockscreen limitation and config-dir option."
19,0002,full,ZorinOS: app did not open from menu and user unclear about password prompt (polkit). Maintainer walked through install and confirmed a recent fix resolved it.
21,0002,full,Request for Flatpak on Flathub. Maintainer investigated; Flatpak cannot grant /dev/uinput access due to sandbox restrictions. Fundamental limitation confirmed by flatpak issue #4137. Wontfix.
22,0002,full,User asked if upgrading from 0.5.0 to 0.6.0 was necessary. Maintainer said no. Minor docs/communication gap.
23,0002,full,Service crashed at startup on Ubuntu 20.10 with NameError in evdev 1.3.0 ecodes.py. Workaround: reinstall evdev via pip not setuptools. Reported to python-evdev upstream. Maintainer says use evdev from pip; root cause is an evdev build issue.
24,0002,full,"Questions about trackball/Elecom compatibility and libinput coexistence. Maintainer confirmed any evdev device works. Side issue: applying a preset changes xinput device IDs, breaking existing libinput xinput --set-prop commands. Workaround: update xinput ID after applying; maintainer suggested autostart script."
25,0002,full,"Bluetooth devices not autoloaded on reconnect (Ubuntu 20.10 GNOME, Logitech M585 and K380). Service could not inject for unknown device at login time. Fixed in 0.7.0 via udev rule: autoload triggers on device connect, not just at login. Multiple back-and-forth test iterations needed."
27,0002,full,"Brightness keys (KEY_BRIGHTNESSDOWN/UP) do not report events via evdev on the user's MX Linux/xfce laptop even though the device appears to have the capability. Maintainer confirmed this is an evdev/kernel limitation, not fixable in key-mapper; brightness key events are handled at DE level, not evdev."
28,0003,full,GUI crashed on Arch with GTK assertion error. Root cause: user had symlinked sudo to doas which lacks X11 DISPLAY access when used with pkexec. Maintainer added Gtk.init() call but ultimately resolved when user installed proper sudo. Environment-specific.
29,0003,full,Could not open uinput device in write mode. Multiple reporters on Arch. Workaround: install xf86-input-evdev to ensure uinput module loads; also modprobe uinput. Maintainer noted the uinput kernel module must be loaded; reboot sometimes sufficient. PR potential: add uinput modprobe step to docs.
30,0003,full,"Request for dual-function Capslock: Escape when tapped, Ctrl when held with another key. Maintainer explained it was architecturally complex (needs key-state awareness and arbitrary-key combos). Later resolved in 2021 via if_single and if_tap macros."
32,0003,full,Request for per-application preset switching (e.g. game-specific layouts). Maintainer noted Wayland hides window focus info; possible to implement by watching process names but requires design. Still open.
33,0003,full,F13-F24 and unusual keys not mappable because xmodmap/xkb didn't know about them. Maintainer explored xkb branch but hit libxkbcommon issues on some systems. Workaround: use macro for unsupported keys. Eventually resolved for most cases via existing xkb workaround.
35,0003,full,0.6.1 regression: applying a profile froze mouse pointer. Root cause: wrong capabilities in the injected virtual device (magic number). Maintainer pushed fix same day after seeing debug log.
36,0003,full,"Drawing tablet cursor stopped moving when a stylus button was mapped. Tablet (UGEE M708) was mis-detected as a gamepad, so ABS_X/Y events were converted to REL events. Multiple fixes: stricter gamepad detection, ignoring tablet pressure/ABS events, separate forwarding device. Partially resolved; cursor eventually worked after architectural changes."
37,0003,full,"Left mouse button (BTN_LEFT) could not be remapped via GUI (disabled to prevent UI breaking, and safety concern). Maintainer pushed fix in April 2021 with a warning if no alternative button is configured as BTN_LEFT."
40,0003,full,"Request for Debian-compliant packaging (dpkg-buildpackage). A Debian Developer volunteered, built the package, submitted to NEW queue. key-mapper 1.0.0 accepted into Debian 12."
41,0003,full,AUR install: startup crash because home directory group was not the user group. Maintainer pushed fix to handle non-standard home directory group ownership.
42,0003,full,Design notes issue (by maintainer) for XKB config generation to support unknown keys. Covers setxkbmap crash risks and difficulty of writing valid XKB files. Internal planning issue.
43,0003,full,Fedora 33 + KDE Plasma 5.21: pkexec authentication fails after Plasma upgrade. Reporter closed as a Plasma-specific issue. Not a key-mapper bug.
44,0004,full,UI bug on Fedora/KDE main branch: Add mapping row button disappeared after first remap. Not reproducible by the end; maintainer added extra guard logic for consistency checking.
46,0004,full,"Razer Tartarus V2 on Manjaro with OpenRazer: mapped macro kept key pressed after button release (key-up not triggered). Maintainer pushed fix; workaround was to use m(ctrl, k(v)) syntax instead of combination syntax."
