n,title,author,created,comments,answered
20,Preset Switching per application,rimko,2021-01-10,5,False
26,how is the Windows Key defined in mapping?,cxj05h,2021-01-22,1,True
34,Caps Lock as Escape and Control,sezanzeb,2021-02-03,4,False
39,Multiple modifier keys?,neonWhiteout,2021-02-12,1,True
52,Does the keyboard remapping use xkb instead of xmodmap for xorg?,Srijan1214,2021-03-03,1,False
63,Map keyboard key to mouse movemennt,dnikic,2021-03-16,3,False
87,What is the magic code for the pipe symbol? It looks like this: |,byron-hawkins,2021-04-11,1,False
97,easy way to change profile,Yueh72,2021-04-16,2,False
108,A way to assign multiple actions to a mouse button,dudethis,2021-04-28,1,False
111,Auxiliary/External Docs?,Trequetrum,2021-05-18,1,True
113,When does the pip package get updated?,HolySoap,2021-05-23,1,False
119,Map a key sequence to type a character,RonSMeyer,2021-06-04,1,False
134,Auto load on os start,ahmadhasannudin,2021-07-07,4,False
139,Cursor focus not detected by the mouse wheel.,robkam,2021-07-09,0,False
156,Fedora dependency,rimko,2021-08-02,2,False
158,CLI console and Script executed,cybermaus,2021-08-02,1,False
163,"Feature: Sort ""Key"" and ""Mapping"" columns",KayTaneJupiter,2021-08-15,1,False
164,Razer Tartarus v2 works,KayTaneJupiter,2021-08-15,3,False
166,Help with syntax for nested combos and macros.,BornOfStygian,2021-08-16,1,False
169,press and hold key for certain duration of time,ZeRenCZ,2021-08-19,2,True
179,Is there a way to load the configuration into the SDDM login screen?,HolySoap,2021-09-01,1,False
188,"Macro ""if"" functions dont work.",Funky-Punky,2021-10-07,1,True
190,Key-mapper updating,a-e-egorov,2021-10-12,1,False
194,Multistroke,KoljaL,2021-10-15,1,True
215,How to map to get lower than or greater than symbols ?,jeanpat,2021-11-26,2,False
227,More control over uinput devices (Keymapper 2.0 !?),jonasBoss,2021-12-07,3,False
233,Remap keys for particular window class,petrstepanov,2021-12-13,1,False
237,DPI Change via Key Press,QuentinDOS,2021-12-18,1,False
244,error in terminal injection,ZeRenCZ,2021-12-29,2,False
245,description column,ZeRenCZ,2021-12-29,2,False
249,"How to put the mouse in a specific position x,y and click on it?",diegoparra,2022-01-04,3,False
251,Feature: map keys for different programs,mikdmst1,2022-01-07,2,False
255,Should we use type hints?,jonasBoss,2022-01-12,2,False
260,log levels,sezanzeb,2022-01-16,1,False
272,Alt tab in Windows or Super tab in Gnome,technewsguy,2022-01-27,2,False
294,input-remapper-xautopresets,DreadPirateLynx,2022-02-11,4,False
305,Automatic target,sezanzeb,2022-02-18,3,False
313,hold command help pls,CODICMAN,2022-02-24,1,False
334,CPU usage compared to other options out there,Strykar,2022-03-10,0,False
367,Repeating macro.,Plyply99,2022-04-14,2,False
398,Double key pressing events configuration?,offray,2022-05-10,2,False
406,Send MIDI event,DreadPirateLynx,2022-05-18,1,False
423,Send keystrokes,tonyrumans,2022-06-30,2,False
428,Any way to remap a mouse button to another mouse button?,imperfectlink,2022-07-13,1,True
443,Block default action,pintassilgo,2022-07-26,1,False
