n,title,is_pr,state,created,closed,author,comments,labels
1,AUR package isn't working,False,CLOSED,2020-12-05,2020-12-05,ca5ua1,2,
2,AUR still broken,False,CLOSED,2020-12-05,2020-12-05,ca5ua1,4,
3,Windows release?,False,CLOSED,2020-12-16,2020-12-16,rayman3003,4,
4,add support for non-GUI,False,CLOSED,2020-12-17,2020-12-17,OrionRandD,9,
5,Can't install on pop!_os 20.10,False,CLOSED,2020-12-23,2020-12-23,therealrobster,2,
6,deb file install / Steam controller issue,False,CLOSED,2020-12-25,2020-12-27,danrobi11,18,
7,Not running when starting via GUI ,False,CLOSED,2020-12-26,2020-12-29,claxonberlin,19,
8,Mappings not autoloaded,False,CLOSED,2020-12-27,2021-01-04,amadeusp,20,
9,Dark theme no longer loading,False,CLOSED,2020-12-27,2020-12-27,amadeusp,9,
10,GUI unresponsive,False,CLOSED,2020-12-28,2021-01-03,mike-lloyd03,5,
11,how to remove,False,CLOSED,2020-12-30,2020-12-30,systmrrr,1,
12,Logitech mouse buttons 6 and 7,False,CLOSED,2020-12-31,2021-01-05,jim8989,28,
13,Can't remap/detect side wheel buttons,False,CLOSED,2021-01-02,2021-01-05,rimko,7,
14,possible fix for #8,True,CLOSED,2021-01-03,2021-01-04,hixan,3,
15,OpenRC init script needed,False,CLOSED,2021-01-07,2021-01-07,proton252,4,
16,3 parameter macro ,False,CLOSED,2021-01-08,2021-01-08,jim8989,4,
17,Wrong user in systemd daemon,False,CLOSED,2021-01-09,2021-01-09,reyder,1,
18,Only works after first unlock,False,CLOSED,2021-01-09,2021-01-09,RisingOrange,3,
19,App doesn't open on ZOrin OS,False,CLOSED,2021-01-09,2021-01-18,Pretuer,2,
21,Installing as Flatpak from Flathub,False,CLOSED,2021-01-10,2021-08-30,sojusnik,17,packaging
22,When to update the software release,False,CLOSED,2021-01-10,2021-01-10,jim8989,1,
23,key-mapper.service fails,False,CLOSED,2021-01-10,2021-01-11,Pete-Smith,11,
24,Mouse compatibility,False,CLOSED,2021-01-12,2021-01-17,jim8989,23,
25,Automatically loading for bluetooth devices,False,CLOSED,2021-01-17,2021-02-12,sojusnik,34,
27,Key Mapper can't map brightness keys,False,CLOSED,2021-01-27,2021-02-06,Arrowpuppet,6,
28,_gtk_style_provider_private_get_settings assertion failed,False,CLOSED,2021-01-30,2021-02-03,ghost,19,
29,could not open uinput device in write mode,False,CLOSED,2021-01-31,2021-03-03,hannahswain,13,
30,Caps Lock as Escape and Control,False,CLOSED,2021-02-02,2021-02-02,likern,13,
31,draft: try to package as Flatpak,True,CLOSED,2021-02-02,2021-08-30,likern,4,
32,[Feature Request]: presets assigned to programs,False,CLOSED,2021-02-03,2021-02-03,mauritzn,6,
33,key_f13 -> key_f24 seem to be incorrect,False,CLOSED,2021-02-03,2021-04-08,mauritzn,31,
35,0.6.1 freezes the pointer when applying a profile,False,CLOSED,2021-02-07,2021-02-07,CarlosEkisde,7,
36,Drawing tablet cursor not moving if stylus button mapped,False,CLOSED,2021-02-10,2022-11-08,CarlosEkisde,56,"environment incompatibility,help wanted"
37,[Feature Request] Add support for left key remapping,False,CLOSED,2021-02-11,2021-04-02,CarlosEkisde,6,
40,Packing via debian/rules,False,CLOSED,2021-02-13,2021-08-17,sezanzeb,15,"help wanted,packaging"
41,"Fail to start, installed from AUR",False,CLOSED,2021-02-14,2021-02-15,ghost,3,
42,Generating xkb configs,False,CLOSED,2021-02-18,2021-02-18,sezanzeb,1,
