problem_id,item_n
already-fixed-or-documented-upstream,11
already-fixed-or-documented-upstream,66
already-fixed-or-documented-upstream,81
already-fixed-or-documented-upstream,269
no-non-systemd-init-scripts,15
no-non-systemd-init-scripts,122
per-app-switching-wayland,32
per-app-switching-wayland,50
per-app-switching-wayland,56
per-app-switching-wayland,146
per-app-switching-wayland,196
per-app-switching-wayland,203
per-app-switching-wayland,252
requested-features-still-missing,116
requested-features-still-missing,160
requested-features-still-missing,173
requested-features-still-missing,192
requested-features-still-missing,207
uinput-module-not-loaded,29
uinput-module-not-loaded,122
uinput-module-not-loaded,256
