tag,published,prerelease
0.1.0,2020-11-29,False
0.2.0,2020-12-04,False
0.3.0,2020-12-06,False
0.3.1,2020-12-15,False
0.4.0,2020-12-24,False
0.4.1,2021-01-01,False
0.5.0,2021-01-01,False
0.6.0,2021-01-07,False
0.6.1,2021-02-06,False
0.7.0,2021-02-22,False
0.7.1,2021-03-18,False
0.8.0,2021-03-27,False
0.8.1,2021-04-04,False
1.0.0,2021-05-08,False
1.1.0,2021-09-29,False
1.2.0,2021-10-10,False
1.2.1,2021-10-20,False
1.2.2,2021-12-15,False
1.3.0,2022-01-10,False
1.4.0,2022-01-22,False
1.4.1,2022-02-27,False
1.4.2,2022-03-19,False
1.5.0,2022-06-22,False
1.5.1,2023-03-02,False
2.0.0,2023-03-20,False
2.0.1,2023-09-18,False
2.1.0,2025-02-08,False
2.1.1,2025-02-16,False
2.2.0,2025-11-01,False
2.2.1,2026-06-12,False
