id,type,title,summary,status,workaround
already-fixed-or-documented-upstream,problem,Asks that upstream already meets,Verified at upstream cb8f5fd (2026-09-14): #66 a uinput device name longer than 80 characters is truncated (injector.py: name[:80]); #11 and #81 uninstalling is documented (README: sudo python3 -m install.uninstall); #269 python3-devel is listed in the README dependencies. No PR needed; their pr_potential is re-tagged resolved.,closed,
architecture-hard-to-approach,improvement,The architecture is hard for newcomers to approach; a contributor guide and small clean-ups would lower the cost,"In March 2026 the maintainer wrote that he would welcome contributors but that the architecture and code are very complex, which he attributes to his inexperience at the start, the quirks of the different kinds of input, security (not running everything as root) and Linux integration (udev, autostart, service, D-Bus). The 2021 guide (#177) promises help finding the right place in the code and asks for unit tests, pylint and black. The 2024 macro rework (#1003, merged) shows the direction taken: more classes, judged bulkier than before but worth it. Proposal (the analyst's, not requested by the maintainer): a short architecture guide for contributors covering the service, reader, injector and group concepts, plus small preventive refactors that reduce the entry cost.",open,
backlog-not-triaged,improvement,Nobody is triaging the open issue backlog,"The register and health pages show hundreds of open issues, a growing share of new issues that never get a reply, and Discussions left unanswered. In March 2026 (#853) a user offered to work as a volunteer support engineer and go through old issues that may no longer reproduce. The maintainer thanked them but doubted a clean backlog would change much for him, and said he could not promise to honor the effort; he also mentioned a private planning board that others cannot open. Whether the offer was taken up is not visible. A triage helper is a way to help without touching the code, but only if the maintainer agrees to give them the rights to label and close.",open,
character-injection-limits,problem,"Arbitrary characters cannot be injected because the tool sends key codes, not characters","Several users ask to map a key to a symbol, emoji or non-Latin character. The tool sends kernel key codes and the desktop environment decides which symbol appears, so a character without a key in the active layout cannot be produced reliably (#195, #209, #210). A Unicode-entry macro was shown to be technically possible but declined because it depends on the application (#101). In June 2024 the maintainer said the real fix lies below the tool: the Linux input stack should allow injecting any character instead of any key code, and allow several mapping tools to work on top of each other.",known-error,"Use the xmodmap-based symbol names, or a macro that holds a modifier while pressing a key that exists in the layout. The Ctrl+Shift+U hex entry works only in some GTK applications and breaks in others."
dependency-injection-testability,improvement,Finish the move to dependency injection so tests become easier to write,"In #853 the maintainer says that, looking back, he wishes he had applied the dependency-injection pattern everywhere because it would have made tests easier to write; the tool is stable thanks to its high test coverage. He started in autumn 2024: PR #960 (merged) introduced wrapper classes for path and user handling and migrations that can be replaced in tests, and added TODO comments wherever a global object should be injected instead; PR #964 (merged) continued it. He noted that injecting the macro parser is hard because mapping objects have to be serialised. PR #1068 (custom groups, still open since February 2025) lists dependency injection for groups as an unfinished item. So the direction is accepted and partly done; what is missing is someone to carry it on in reviewable steps.",in-progress,
maintainer-stepped-back,risk,The maintainer has largely stepped back; pull-request review is the one channel he still uses,"Issue #853, opened by the maintainer in February 2024, says issues are piling up, that he moved on to other hobbies some time ago, that the co-maintainer is busy elsewhere too, and that he still reviews pull requests but nobody should expect more. In March 2025 he said he had worked on the project a lot since the previous autumn after a serious bug report, hoped that was temporary, and no longer uses the tool himself. In March 2026 he said he very rarely reads issues now, mostly checks that recent commits broke nothing, only occasionally fixes a reproducible bug, is not motivated to build feature requests, and handles packager emails and critical bugs when he finds time, typically in winter. The 2021 contribution guide (#177) already said he would not develop much new after 2.0. The health page shows the same shift in numbers. The numbers alone cannot separate busy from gone; his own words say he still merges pull requests and does little else. Consequence for contributors: a proposal has to be small, tested and self-explanatory.",open,
no-non-systemd-init-scripts,problem,"Only a systemd unit ships; no OpenRC, runit or sysv scripts","Only data/input-remapper.service ships, so the daemon cannot be autostarted on OpenRC, runit or sysv systems (Gentoo, Artix, Alpine, postmarketOS). In #15 the maintainer asked for a PR and community members posted working OpenRC and runit scripts in the thread. Verified at upstream cb8f5fd: no OpenRC, runit or sysv files in the repository. Candidate PR: contributed init scripts plus a README section; needs someone who can test on those systems.",open,
per-app-switching-wayland,problem,"Presets that follow the focused application are impossible on Wayland, and the docs do not say so","Users keep asking for presets that switch by focused application or window (seven items over five years). The maintainer answers each time that Wayland hides window focus, so it cannot work on every desktop. Verified at upstream cb8f5fd: README, usage.md and examples.md do not state this limit or the workaround (input-remapper-control bound to a desktop shortcut, or an X11 window-watcher script). Candidate PR: an FAQ entry. The feature itself is not being asked of the maintainer.",open,
qt-user-interface,request,A Qt user interface instead of GTK,"Issue #526 asks for the GTK interface to be ported to Qt. The 2021 guide (#177) lists it under possibly complicated work for contributors, and in July 2026 the maintainer, discussing tray-icon support (#1333), still talks about what would happen if a new Qt interface were ever written. He does not plan to build it himself; it needs a contributor with time.",open,
requested-features-still-missing,request,Requested features still missing upstream (each a separate PR),"Open requests verified absent at upstream cb8f5fd: a text() macro (#173), an LED macro (#160; a contributor started a branch), udev-based device classification (#192), search or filter of the mapping list (#207), desktop notifications when a device is mapped (#116). These are separate PRs, grouped only because each is a small missing feature.",open,
uinput-module-not-loaded,problem,Injection fails when the uinput kernel module is not loaded,"Injection fails with ""could not open uinput device"" when the uinput kernel module is not loaded (reported on Arch and postmarketOS; fixed by running modprobe uinput, sometimes needed after a kernel upgrade). Verified at upstream cb8f5fd: no modprobe, modules-load.d file or troubleshooting note exists in the docs, install scripts, packaging or data/. Candidate PR: ship a modules-load.d entry for uinput with the package and add a troubleshooting note to the README. Not yet tested on a distribution.",open,
