register_id,item_n
already-fixed-or-documented-upstream,11
already-fixed-or-documented-upstream,66
already-fixed-or-documented-upstream,81
already-fixed-or-documented-upstream,269
architecture-hard-to-approach,177
architecture-hard-to-approach,853
architecture-hard-to-approach,1003
backlog-not-triaged,853
character-injection-limits,101
character-injection-limits,195
character-injection-limits,209
character-injection-limits,210
dependency-injection-testability,853
dependency-injection-testability,960
dependency-injection-testability,964
dependency-injection-testability,1068
maintainer-stepped-back,177
maintainer-stepped-back,853
no-non-systemd-init-scripts,15
no-non-systemd-init-scripts,122
per-app-switching-wayland,32
per-app-switching-wayland,50
per-app-switching-wayland,56
per-app-switching-wayland,146
per-app-switching-wayland,196
per-app-switching-wayland,203
per-app-switching-wayland,252
qt-user-interface,177
qt-user-interface,526
qt-user-interface,1333
requested-features-still-missing,116
requested-features-still-missing,160
requested-features-still-missing,173
requested-features-still-missing,192
requested-features-still-missing,207
uinput-module-not-loaded,29
uinput-module-not-loaded,122
uinput-module-not-loaded,256
