register_id,facet,value
already-fixed-or-documented-upstream,conf,inferred
architecture-hard-to-approach,change_type,preventive
architecture-hard-to-approach,conf,inferred
architecture-hard-to-approach,dimension,information-technology
architecture-hard-to-approach,dimension,people
architecture-hard-to-approach,effort,medium
architecture-hard-to-approach,quality,maintainability
architecture-hard-to-approach,risk,low
architecture-hard-to-approach,value,medium
backlog-not-triaged,conf,inferred
backlog-not-triaged,dimension,people
backlog-not-triaged,dimension,processes
backlog-not-triaged,effort,medium
backlog-not-triaged,risk,low
backlog-not-triaged,value,medium
character-injection-limits,conf,stated
character-injection-limits,dimension,partners
character-injection-limits,effort,large
character-injection-limits,quality,compatibility
character-injection-limits,quality,functional-suitability
character-injection-limits,risk,medium
character-injection-limits,value,medium
dependency-injection-testability,change_type,preventive
dependency-injection-testability,conf,stated
dependency-injection-testability,dimension,information-technology
dependency-injection-testability,effort,large
dependency-injection-testability,quality,maintainability
dependency-injection-testability,risk,medium
dependency-injection-testability,value,high
maintainer-stepped-back,conf,stated
maintainer-stepped-back,dimension,people
maintainer-stepped-back,effort,large
maintainer-stepped-back,risk,high
maintainer-stepped-back,value,high
no-non-systemd-init-scripts,change_type,additive
no-non-systemd-init-scripts,conf,inferred
no-non-systemd-init-scripts,dimension,partners
no-non-systemd-init-scripts,effort,medium
no-non-systemd-init-scripts,quality,compatibility
no-non-systemd-init-scripts,quality,flexibility
no-non-systemd-init-scripts,risk,low
no-non-systemd-init-scripts,value,medium
per-app-switching-wayland,change_type,perfective
per-app-switching-wayland,conf,inferred
per-app-switching-wayland,dimension,information-technology
per-app-switching-wayland,dimension,partners
per-app-switching-wayland,effort,small
per-app-switching-wayland,quality,interaction-capability
per-app-switching-wayland,risk,low
per-app-switching-wayland,value,medium
qt-user-interface,change_type,additive
qt-user-interface,conf,stated
qt-user-interface,dimension,information-technology
qt-user-interface,effort,large
qt-user-interface,quality,flexibility
qt-user-interface,quality,interaction-capability
qt-user-interface,risk,medium
qt-user-interface,value,medium
requested-features-still-missing,change_type,additive
requested-features-still-missing,conf,inferred
requested-features-still-missing,dimension,information-technology
requested-features-still-missing,effort,medium
requested-features-still-missing,quality,functional-suitability
requested-features-still-missing,risk,low
requested-features-still-missing,value,medium
uinput-module-not-loaded,change_type,corrective
uinput-module-not-loaded,conf,inferred
uinput-module-not-loaded,dimension,information-technology
uinput-module-not-loaded,dimension,partners
uinput-module-not-loaded,effort,small
uinput-module-not-loaded,quality,reliability
uinput-module-not-loaded,risk,low
uinput-module-not-loaded,value,medium
