item_n,facet,value
1,cause,distro-compat
1,component,ci-build
1,conf,stated
1,de_os,arch
1,impact,install-blocked
1,kind,support
1,layer,install
1,outcome,fixed
1,pr_potential,unknown
1,symptom,install-fail
2,cause,distro-compat
2,cause,permission
2,component,service
2,conf,stated
2,de_os,arch
2,impact,install-blocked
2,kind,bug
2,layer,install
2,layer,permissions
2,outcome,fixed
2,pr_potential,unknown
2,symptom,daemon-not-starting
2,symptom,install-fail
3,cause,missing-feature
3,conf,stated
3,kind,feature-request
3,layer,install
3,outcome,wontfix
3,pr_potential,wontfix
4,cause,missing-feature
4,component,service
4,conf,stated
4,kind,feature-request
4,layer,config
4,layer,daemon
4,outcome,fixed
4,pr_potential,unknown
5,cause,distro-compat
5,cause,doc-gap
5,component,ci-build
5,conf,stated
5,de_os,ubuntu
5,impact,install-blocked
5,kind,support
5,layer,install
5,outcome,workaround
5,pr_potential,docs-fix
5,symptom,install-fail
6,cause,device-quirk
6,cause,distro-compat
6,component,injector
6,component,service
6,conf,stated
6,device_type,gamepad
6,impact,broken-remap
6,impact,install-blocked
6,kind,bug
6,layer,device
6,layer,injector
6,layer,install
6,outcome,fixed
6,pr_potential,unknown
6,symptom,install-fail
6,symptom,mapping-not-working
7,cause,distro-compat
7,component,gui-app
7,component,service
7,conf,stated
7,de_os,ubuntu
7,impact,install-blocked
7,kind,bug
7,layer,daemon
7,layer,gui
7,layer,install
7,outcome,fixed
7,pr_potential,unknown
7,symptom,daemon-not-starting
8,cause,autoload-failure
8,cause,de-compat
8,component,service
8,conf,stated
8,de_os,arch
8,de_os,gnome
8,impact,broken-remap
8,kind,bug
8,layer,config
8,layer,daemon
8,outcome,fixed
8,pr_potential,unknown
8,symptom,mapping-not-working
8,symptom,service-unit-issue
9,cause,de-compat
9,component,gui-app
9,conf,inferred
9,de_os,arch
9,de_os,gnome
9,impact,ui-bug
9,kind,bug
9,layer,gui
9,outcome,unknown
9,pr_potential,wontfix
10,cause,combination-logic
10,cause,ui-logic
10,component,gui-app
10,conf,stated
10,impact,partial-remap
10,impact,ui-bug
10,kind,bug
10,layer,combination
10,layer,gui
10,outcome,fixed
10,pr_potential,unknown
10,symptom,combination-not-firing
10,symptom,gui-crash
11,cause,doc-gap
11,conf,inferred
11,kind,question
11,layer,install
11,outcome,docs-answer
